"","x"
"SRR8477381","0"
"SRR8477391","0"
"SRR8477393","0"
"SRR8477403","0"
"SRR8477405","0"
"SRR8477406","0"
"SRR8477416","1"
"SRR8477419","1"
"SRR8477430","1"
"SRR8477447","1"
"SRR8477450","1"
"SRR8477456","0"
"SRR8477457","0"
"SRR8477468","0"
"SRR8477478","0"
"SRR8477479","0"
"SRR8477490","0"
"SRR8477493","0"
"SRR8477497","1"
"SRR8477500","1"
"SRR8477501","1"
"SRR8477502","1"
"SRR8477503","1"
"SRR8477505","1"
"SRR8477520","1"
"SRR8477526","1"
"SRR8477530","1"
"SRR8477541","0"
"SRR8477546","0"
"SRR8477550","0"
"SRR8477552","0"
"SRR8477573","0"
"SRR8477581","1"
"SRR8477585","1"
"SRR8477588","1"
"SRR8477594","1"
"SRR8477599","1"
"SRR8477601","1"
"SRR8477603","1"
"SRR8477604","1"
"SRR8477616","0"
"SRR8477617","0"
"SRR8477620","0"
"SRR8477622","0"
"SRR8477623","0"
"SRR8477624","0"
"SRR8477631","0"
"SRR8477636","0"
"SRR8477638","0"
"SRR8477642","0"
"SRR8477644","0"
"SRR8477651","0"
"SRR8477656","0"
"SRR8477657","1"
"SRR8477672","1"
"SRR8477675","1"
"SRR8477685","1"
"SRR8477686","1"
"SRR8477692","1"
"SRR8477695","1"
"SRR8477705","1"
"SRR8477708","1"
