gene,log2FC,pval,padj
ENSMUSG00000000001,-0.01634377933002762,0.7022206329025402,
ENSMUSG00000000003,0.0,,
ENSMUSG00000000028,0.08074631465632631,0.0862792591203014,
ENSMUSG00000000031,-0.05737287300905358,0.4581213133655748,
ENSMUSG00000000037,-0.13001480867842607,0.08113692346270668,
ENSMUSG00000000049,-0.06837583644182788,0.3521068853411762,
ENSMUSG00000000056,0.20787701825018612,0.005917436323364676,
ENSMUSG00000000058,-0.06048736633411522,0.4294783843882468,
ENSMUSG00000000078,0.03828113949135181,0.5877827238101225,
ENSMUSG00000000085,0.06139679057411751,0.007640485268792913,
ENSMUSG00000000088,-0.04406402286755773,0.06852497012491407,
ENSMUSG00000000093,-0.1994771809919349,0.01009247236132848,
ENSMUSG00000000094,-0.08242397558429121,0.1925254002884967,
ENSMUSG00000000103,0.0,,
ENSMUSG00000000120,-0.11829298045980718,0.20078983240078468,
ENSMUSG00000000125,-0.09516850959519796,0.2889530802789166,
ENSMUSG00000000126,-0.24377199733590293,0.01146923639911523,
ENSMUSG00000000127,-0.009812939806995935,0.7345931321097716,
ENSMUSG00000000131,0.015961694870778587,0.5483958281006532,
ENSMUSG00000000134,-0.021081949519604404,0.35011470398882716,
ENSMUSG00000000142,0.07890195416608359,0.0036767759003589135,
ENSMUSG00000000148,-0.005028763948211168,0.8297172231895932,
ENSMUSG00000000149,-0.043251380829210095,0.48752043588069793,
ENSMUSG00000000154,0.03838670738771022,0.5894726211356657,
ENSMUSG00000000157,-0.0674861322537903,0.4421392708488723,
ENSMUSG00000000159,0.076727216511695,0.22191106548533227,
ENSMUSG00000000167,-0.08418733572449089,0.20578135445452,
ENSMUSG00000000168,0.024269593161577507,0.6870729301070164,
ENSMUSG00000000171,-0.024506185497133348,0.3368703943815057,
ENSMUSG00000000182,0.056178517325627786,0.36789822671092987,
ENSMUSG00000000183,-0.07540713438285576,0.12813724507161148,
ENSMUSG00000000184,0.014289804043364995,0.8352559015272755,
ENSMUSG00000000194,-0.04434896349255446,0.29433768115366826,
ENSMUSG00000000197,-0.2703968469524023,0.11376312136910456,
ENSMUSG00000000202,-0.11527925772923098,0.30873856822961737,
ENSMUSG00000000204,0.13246452541605436,0.5271553259145829,
ENSMUSG00000000214,-0.14145642838650496,0.2254937454061326,
ENSMUSG00000000215,-0.01803036880476546,0.5357370563698054,
ENSMUSG00000000216,-0.0250786770102549,0.6713309683353899,
ENSMUSG00000000223,-0.08837063305773674,0.3675476939986493,
ENSMUSG00000000244,0.11838145526374522,0.500803516855522,
ENSMUSG00000000247,-0.08903272177321941,0.5700727255711031,
ENSMUSG00000000248,-0.11753373433538772,0.1980560096044235,
ENSMUSG00000000253,-0.006385037411130945,0.8892594364151278,
ENSMUSG00000000263,-0.107942003867741,0.35793038304844427,
ENSMUSG00000000266,-0.06919131187985927,0.5986981207358559,
ENSMUSG00000000275,0.06890404161395214,0.4162616485609263,
ENSMUSG00000000276,-0.10132171985534288,0.17833912181531453,
ENSMUSG00000000278,0.016811461480680023,0.4635450853449897,
ENSMUSG00000000282,-0.0354519032775209,0.20197964013862996,
