gene,log2fc,pvalue,mean_control,mean_stress,padj
Slc16a13,-0.2858481238980544,2.9618512599987084e-07,2.8286153964793526,2.3200182238089617,0.006132407034483832
Mbnl2,-0.10079027922750139,3.246463397381525e-07,29.44405680989817,27.45716429272256,0.006132407034483832
Gm16794,-0.3474943431972682,1.0990862276045623e-06,1.9128018926988914,1.5031486530221891,0.011352667061222814
2610307P16Rik,-0.7240088127320894,1.5025102651238537e-06,1.359627003649666,0.8227410636133027,0.011352667061222814
Gm42536,0.7121553065801198,1.4067995799262812e-06,0.3035790027949859,0.49797647345828394,0.011352667061222814
Cfl1,-0.07009621283914179,2.5846410475588077e-06,47.24627622411682,45.00554906371266,0.012205644266965524
Actg1,-0.06114838115207889,2.4699838787084192e-06,75.35698030936057,72.22968830382632,0.012205644266965524
Tex11,0.688566178735965,2.1715042910077557e-06,0.7823266837065121,1.261472697241735,0.012205644266965524
Hs6st1,0.18497234085086467,3.751544304255353e-06,8.974819969755064,10.202668865129459,0.015747732474495887
Ywhah,-0.07734628687009641,5.323965733167184e-06,54.46958159080537,51.62618670862055,0.018284918312120278
Gm5112,-0.3826974836682724,5.318639000960215e-06,1.6285314517553129,1.2488541178371226,0.018284918312120278
Gm11638,-0.5622296143734208,7.875549493015566e-06,0.9126184839625132,0.6177524037196845,0.02017945564922032
Phlpp2,0.16650133114793675,7.169484501095199e-06,11.033510979330233,12.38340043943756,0.02017945564922032
Zfp770,-0.10216894552003043,8.012171702223585e-06,6.093707988567805,5.677020879234862,0.02017945564922032
Zfp1010,-0.5574828524132064,7.386243382575246e-06,0.9860856893841248,0.669711565125323,0.02017945564922032
Vmn2r4,0.2538659664053476,8.6760582486634e-06,2.7045928056499853,3.225143686822343,0.02048580028601591
Gm50108,-0.8349746809223023,9.905484521598986e-06,0.7028720542469202,0.3935856601042691,0.02201289998479342
Apol7c,-0.7195102136816192,1.1428065502724509e-05,1.1867083472449274,0.7202995349950503,0.02398560481263496
Hfe,-0.3044402263348868,1.2228233816883316e-05,2.6808070855421757,2.170610305052968,0.02414826624428078
Ryk,0.16721602440740568,1.2783962648180619e-05,6.323659455196176,7.100893992290587,0.02414826624428078
Gm15663,-0.23014779510691724,2.1914949053273365e-05,3.289223761083217,2.804072203555555,0.039424993346838785
Gm36229,-0.6553515456694157,2.6234269508033356e-05,0.8512048315214262,0.540082538829784,0.040444560082421144
Rtraf,-0.08635332814709873,2.676391651606788e-05,6.04876353831295,5.697275702631809,0.040444560082421144
Unk,0.18643671409651263,2.465080733804364e-05,4.6045044310458145,5.239832114984397,0.040444560082421144
AU018091,-0.5441426404628781,2.6578242508778943e-05,0.9535745091869497,0.6536460867410375,0.040444560082421144
Mnd1,0.6290709356104812,2.796724446178256e-05,1.0876755926592974,1.682711613476954,0.040637481866218586
Snord104,0.3669581467566834,3.0126875035010256e-05,1.2854633329790146,1.6580627853072476,0.04153519221148375
Itgb1bp1,-0.12842133261317124,3.0783911218442653e-05,4.997019772753429,4.571348207548079,0.04153519221148375
Spire1,0.17999142140222488,3.217773983299839e-05,24.249590787768142,27.471940151435014,0.04191871838451194
Tmem176b,-0.2041417327968127,3.56162899916756e-05,4.561179910402272,3.9592228276845605,0.044851593986517085
4932411K12Rik,0.6688916139256322,3.8275347262234575e-05,0.40102977889479186,0.6381674684682762,0.04664530142645033
Gm49588,0.24529641738291785,5.746546362159289e-05,2.2299523369170418,2.643428757625013,0.06784336719250493
Evc,-0.26828918336187113,6.101581373055195e-05,3.0276587435928297,2.5137061848471687,0.06985201293716733
Stoml3,-0.43346410378975675,6.471188803318422e-05,1.369601804053403,1.0139054901479756,0.0719044240589902
mt-Tp,-0.3620285633929226,8.780329234558574e-05,1.3034501773464189,1.0139532516601633,0.07538910412554281
Gm42808,0.5814231745933487,8.654271251581809e-05,0.2445415234170551,0.3664098216473353,0.07538910412554281
Sar1a,-0.09788915626993563,8.23007631472748e-05,12.744310760033185,11.90820734901013,0.07538910412554281
Tubb6,-0.2821484364676591,7.380877442842854e-05,2.5928791149535533,2.1321165722559385,0.07538910412554281
Zfand5,-0.09034062365420438,8.280720619925356e-05,22.923315619522196,21.531831482900916,0.07538910412554281
Pigp,-0.1065974253662968,8.662391236471698e-05,3.787504494257455,3.517671993430405,0.07538910412554281
Samtor,-0.07757958381795449,8.586654808788606e-05,7.258996467423231,6.878907949780203,0.07538910412554281
Herc1,0.10368439982278181,7.580110101508107e-05,40.005550132153864,42.98660177984029,0.07538910412554281
Bzw1,-0.07866977594896087,7.844394209545472e-05,18.327932724352042,17.35522273452142,0.07538910412554281
Dstn,-0.08095281967298011,7.457244210635114e-05,14.043146678617195,13.276800213536562,0.07538910412554281
Or5p81,-0.4450741392615053,9.260894587642615e-05,1.274931432789035,0.9362310546357957,0.0757008330787651
Ywhaz,-0.08523095480686932,9.603920542213746e-05,82.98019843526528,78.21986761412609,0.0757008330787651
Stard10,0.13309774316332612,9.618147615820231e-05,5.740120736418366,6.2949764266690815,0.0757008330787651
Gm10777,-0.20011990913876687,9.165814278193579e-05,2.2518903125400653,1.9600919283213512,0.0757008330787651
Zfp322a,-0.11999248407052167,0.00010956266679971399,6.492220393830943,5.974012346802891,0.08240640058937485
Brap,0.10369180934779852,0.0001096156909963962,8.947456517395155,9.614291988074488,0.08240640058937485
